path,type,issues,planned_action
app.json,config,pending,audit
App.js,app-entry,pending,audit
App.test.js,test,pending,audit
babel.config.js,build-config,pending,audit
package.json,config,pending,audit+normalize
package-lock.json,lockfile,pending,keep
README.md,docs,pending,keep
QUICK_START.md,docs,pending,keep
EXECUTIVE_SUMMARY.md,docs,pending,keep
BUILD-GUIDE.md,docs,pending,keep
START-HERE.md,docs,pending,keep
eas.json,config,pending,audit
firebase.json,config,pending,audit
firestore.rules,config,pending,review
firestore.indexes.json,config,pending,review
storage.rules,config,pending,review
src/aws-exports.js,config,pending,verify-env
src/amplifyconfiguration.json,config,pending,verify
src/config/amplify.js,auth-config,pending,centralize
src/config/firebase.js,firebase-config,pending,verify
src/config/preAuthCleanup.js,auth-util,pending,keep
src/config/StreamingConfig.js,streaming-config,pending,verify
src/config/StreamingFeatureFlag.js,streaming-config,pending,verify
src/config/agora.js,thirdparty-config,pending,verify
src/config/supabase.js,thirdparty-config,pending,verify
src/hooks/useCommon.js,hook,pending,stabilize
src/hooks/useUnreadCount.js,hook,pending,review
src/contexts/UnreadContext.js,context,pending,review
src/styles/theme.js,styles,pending,review
src/constants/mockData.js,constants,pending,review
src/screens/AuthScreen.js,screen,pending,stabilize-auth
src/screens/HomeScreen.js,screen,pending,decouple-firebase-auth
src/screens/CameraScreen.js,screen,pending,review
src/screens/VoiceMemoScreen.js,screen,pending,review
src/screens/ProfileScreen.js,screen,pending,review
src/screens/UserProfileScreen.js,screen,pending,review
src/screens/CommentsScreen.js,screen,pending,review
src/screens/FollowersScreen.js,screen,pending,review
src/screens/FindPeopleScreen.js,screen,pending,review
src/screens/SearchScreen.js,screen,pending,review
src/screens/SearchResultsScreen.js,screen,pending,review
src/screens/ReviewScreen.js,screen,pending,review
src/screens/MessengerScreen.js,screen,pending,review
src/screens/ChatListScreen.js,screen,pending,review
src/screens/ChatConversationScreen.js,screen,pending,review
src/screens/ChatRoomScreen.js,screen,pending,review
src/screens/ChatRoomsScreen.js,screen,pending,review
src/screens/CoinStoreScreen.js,screen,pending,review
src/screens/GamesScreen.js,screen,pending,review
src/screens/GameRoomScreen.js,screen,pending,review
src/screens/EnterpriseLiveStreamScreen.js,screen,pending,review
src/screens/FirebaseTestScreen.js,screen,pending,review
src/screens/MediaViewerScreen.js,screen,pending,review
src/screens/PostPreviewScreen.js,screen,pending,review
src/screens/LiveStreamScreen.js,screen,pending,review
src/screens/LiveStreamScreen_TEST.js,screen,pending,review
src/screens/LiveStreamScreen_MINIMAL.js,screen,pending,review
src/screens/LiveStreamScreen_BROKEN.js,screen,pending,archive
src/screens/LiveStreamScreen-OLD-BROKEN.js,screen,pending,archive
src/components/ActivityFeed.js,component,pending,review
src/components/AudioTile.js,component,pending,review
src/components/BlypLogo.js,component,pending,review
src/components/BlypCoinWallet.js,component,pending,review
src/components/BlypCoinBooster.js,component,pending,review
src/components/CategoriesTab.js,component,pending,review
src/components/CollageCreator.js,component,pending,review
src/components/CollageShowcase.js,component,pending,review
src/components/CommentsModal.js,component,pending,review
src/components/CreatePostButton.js,component,pending,review
src/components/CreatePostButton_MINIMAL.js,component,pending,review
src/components/CreatePostButton_BROKEN.js,component,pending,archive
src/components/CustomText.js,component,pending,review
src/components/DailyRewards.js,component,pending,review
src/components/DebugLiveStreamViewer.js,component,pending,review
src/components/EnhancedLiveStreamViewer.js,component,pending,review
src/components/EnhancedVideo.js,component,pending,review
src/components/GiftSystem.js,component,pending,review
src/components/HeaderContainer.js,component,pending,review
src/components/HashtagsTab.js,component,pending,review
src/components/HeartAnimation.js,component,pending,review
src/components/IntelligentAdaptivePlayer.js,component,pending,review
src/components/LiveStreamBroadcaster.js,component,pending,review
src/components/LiveStreamViewer.js,component,pending,review
src/components/LiveStreamViewer_FIXED.js,component,pending,review
src/components/LiveStreamViewer_PRODUCTION.js,component,pending,review
src/components/LiveStreamViewer_WORKING.js,component,pending,review
src/components/LiveUsersTab.js,component,pending,review
src/components/OptimizedVideo.js,component,pending,review
src/components/PhotoGallery.js,component,pending,review
src/components/ProductionLiveStreamBroadcaster.js,component,pending,review
src/components/RockPaperScissorsGame.js,component,pending,review
src/components/ScaledText.js,component,pending,review
src/components/ScreenContainer.js,component,pending,review
src/components/SearchBar.js,component,pending,review
src/components/SmartLiveStreamViewer.js,component,pending,review
src/components/SimpleLiveStreamBroadcaster.js,component,pending,review
src/components/SimpleStreamViewer.js,component,pending,review
src/components/TabBarIcon.js,component,pending,review
src/components/TestBroadcaster.js,component,pending,review
src/components/TestComponent.js,component,pending,review
src/components/TestRender.js,component,pending,review
src/components/UltraSimpleBroadcaster.js,component,pending,review
src/components/WhatsAppPopularTab.js,component,pending,review
src/services/FirebaseService.js,service,pending,consolidate
src/services/firebase.js,service,pending,consolidate
src/services/FirestoreLiveService.ts,service-ts,pending,consolidate
src/services/LiveService.js,service,pending,review
src/services/LiveStreamService.js,service,pending,review
src/services/HLSLiveStreamService.js,service,pending,review
src/services/LiveStreamingStressTest.js,service,pending,review
src/services/ScalableHLSService.js,service,pending,review
src/services/GameService.js,service,pending,review
src/services/ChatRoomService.js,service,pending,review
src/services/BlypCoinService.js,service,pending,review
src/services/EnterpriseAnalyticsService.js,service,pending,review
src/services/EnterpriseStorageService.js,service,pending,review
src/services/ErrorMonitoringService.js,service,pending,review
src/services/GemService.js,service,pending,review
src/services/geminiSpeechService.js,service,pending,optional
src/services/aiService.js,service,pending,optional
src/services/mediaDescriptionService.js,service,pending,optional
src/services/realSpeechService.js,service,pending,optional
src/services/searchService.js,service,pending,review
src/services/simpleSpeechService.js,service,pending,optional
src/services/speechToTextService.js,service,pending,optional
android/build.gradle,android,pending,verify
android/settings.gradle,android,pending,verify
android/gradle.properties,android,pending,verify
android/gradle/wrapper/gradle-wrapper.properties,android,pending,verify
android/app/build.gradle,android-app,pending,verify
android/app/proguard-rules.pro,android-app,pending,verify
android/app/src/main/AndroidManifest.xml,android-manifest,pending,trim-perms
android/app/src/debug/AndroidManifest.xml,android-manifest,pending,debug-only
android/app/src/main/java/com/blyp/mobile/MainActivity.kt,android-kotlin,pending,verify
android/app/src/main/java/com/blyp/mobile/MainApplication.kt,android-kotlin,pending,verify
functions/package.json,cloud-functions,pending,review
functions/src/index.ts,cloud-functions,pending,review
scripts/setup-aws.ps1,script,pending,review
scripts/reset-dev-env.ps1,script,pending,review
scripts/generate-aws-exports.js,script,pending,review
scripts/test-firestore-rules.js,script,pending,review
scripts/test-storage-rules.js,script,pending,review
start-app.ps1,script,pending,keep
check-status.ps1,script,pending,keep
